driver_name,races,total_points,avg_points,points_std,avg_grid,avg_finish,dnf_rate,avg_grid_vs_finish,consistency_index,efficiency_score,performance_index,roi_proxy,performance_volatility,high_performer_flag,reliable_driver_flag
Esteban Ocon,180,474.0,2.6333333333333333,4.011018344064833,11.622222222222222,8.972222222222221,0.13333333333333333,2.65,0.5255086197104656,0.20862676056338028,0.380610810660898,2.6187845303867405,4.011018344064833,0,1
Felipe Massa,59,217.0,3.6779661016949152,4.336853610650284,9.203389830508474,7.677966101694915,0.13559322033898305,1.5254237288135593,0.6891637601516979,0.3604651162790698,0.3988997364342616,3.6166666666666667,4.336853610650284,0,0
Felipe Nasr,40,29.0,0.725,2.099908422911671,15.9,10.8,0.175,5.1,0.23387787672741137,0.04289940828402367,0.3371856643647558,0.7073170731707317,2.099908422911671,0,0
Fernando Alonso,192,613.0,3.1927083333333335,4.396494195710314,10.791666666666666,7.989583333333333,0.17708333333333334,2.8020833333333335,0.5916263814146645,0.27075971731448767,0.38474108702887094,3.1761658031088085,4.396494195710314,0,0
Franco Colapinto,27,5.0,0.18518518518518517,0.7862783338192769,14.814814814814815,13.185185185185185,0.1111111111111111,1.6296296296296295,0.10367095747572388,0.011709601873536299,0.3084194469867155,0.17857142857142858,0.7862783338192769,0,0
Gabriel Bortoleto,24,19.0,0.7916666666666666,1.9332146390351252,13.416666666666666,14.25,0.0,-0.8333333333333334,0.2698972847507279,0.05491329479768786,0.33572842998585567,0.76,1.9332146390351252,0,0
George Russell,152,953.0,6.269736842105263,6.787181524231696,9.013157894736842,7.559210526315789,0.1118421052631579,1.4539473684210527,0.8051355708860083,0.6261498028909329,0.4786697706701232,6.228758169934641,6.787181524231696,1,1
Guanyu Zhou,68,16.0,0.23529411764705882,0.7939631755591603,15.014705882352942,11.897058823529411,0.14705882352941177,3.1176470588235294,0.13115883361079583,0.014692378328741965,0.3130575118806987,0.2318840579710145,0.7939631755591603,0,0
Isack Hadjar,24,50.0,2.0833333333333335,3.7522939843417835,9.541666666666666,11.791666666666666,0.0,-2.25,0.4383847758993146,0.19762845849802374,0.3589344648750589,2.0,3.7522939843417835,0,1
Jack Aitken,1,0.0,0.0,,17.0,16.0,0.0,1.0,,0.0,0.3305882352941176,0.0,0.0,0,0
Jack Doohan,7,0.0,0.0,0.0,15.714285714285714,16.142857142857142,0.0,-0.42857142857142855,0.0,0.0,0.3171428571428571,0.0,0.0,0,0
Jenson Button,41,37.0,0.9024390243902439,1.9468548745191625,14.536585365853659,7.926829268292683,0.3170731707317073,6.609756097560975,0.3062380275979809,0.058084772370486655,0.31379267379494663,0.8809523809523809,1.9468548745191625,0,0
Jolyon Palmer,37,9.0,0.24324324324324326,1.320887862289886,16.324324324324323,9.324324324324325,0.2972972972972973,7.0,0.10480611631242243,0.0140405616224649,0.30475063132022945,0.23684210526315788,1.320887862289886,0,0
Kevin Magnussen,167,141.0,0.844311377245509,2.082561119900876,13.401197604790418,10.676646706586826,0.17964071856287425,2.7245508982035926,0.27389931437033727,0.05862785862785863,0.31681142582129196,0.8392857142857143,2.082561119900876,0,0
Kimi Räikkönen,139,849.0,6.107913669064748,6.597859388789073,8.453237410071942,6.60431654676259,0.1510791366906475,1.8489208633093526,0.8038992769565076,0.6461187214611872,0.4660383170292121,6.064285714285714,6.597859388789073,1,0
Lance Stroll,191,315.0,1.649214659685864,3.250503914131464,13.361256544502618,10.104712041884817,0.13089005235602094,3.256544502617801,0.3880045032314386,0.11483776886620488,0.359213165541993,1.640625,3.250503914131464,0,1
Lando Norris,152,1344.0,8.842105263157896,7.7323653356660875,6.565789473684211,6.190789473684211,0.05921052631578947,0.375,1.0125670334752934,1.1686956521739131,0.5570730006437176,8.784313725490197,7.7323653356660875,1,1
Lewis Hamilton,232,3469.5,14.954741379310345,8.637674145940014,4.616379310344827,3.646551724137931,0.04310344827586207,0.9698275862068966,1.551696099375824,2.662701458173446,0.7404210718087166,14.890557939914164,8.637674145940014,1,1
Liam Lawson,35,44.0,1.2571428571428571,2.477461427762382,12.342857142857143,12.82857142857143,0.0,-0.4857142857142857,0.36151166109462274,0.09421841541755888,0.35216778196427084,1.2222222222222223,2.477461427762382,0,1
